,age,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,poutcome_other,poutcome_success,poutcome_unknown,contact_telephone,contact_unknown
0,58,0,2143,1,0,5,2,261,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
1,44,0,29,1,0,5,2,151,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
2,33,0,2,1,1,5,2,76,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
3,47,0,1506,1,0,5,2,92,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,33,0,1,0,0,5,2,198,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
5,35,0,231,1,0,5,2,139,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
6,28,0,447,1,1,5,2,217,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
7,42,1,2,1,0,5,2,380,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
8,58,0,121,1,0,5,2,50,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,43,0,593,1,0,5,2,55,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
10,41,0,270,1,0,5,2,222,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
11,29,0,390,1,0,5,2,137,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
12,53,0,6,1,0,5,2,517,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
13,58,0,71,1,0,5,2,71,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
14,57,0,162,1,0,5,2,174,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
15,51,0,229,1,0,5,2,353,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
